clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
2628,FLUOROACETATO DE POTASIO,6.1,,
2629,FLUOROACETATO DE SODIO,6.1,,
2630,SELENIATOS o SELENITOS,6.1,,
2642,ÁCIDO FLUOROACÉTICO,6.1,,
2643,BROMOACETATO DE METILO,6.1,,
2644,YODURO DE METILO,6.1,,
2645,BROMURO DE FENACILO,6.1,,
2646,HEXACLOROCICLOPENTADIENO,6.1,,
2647,MALONONITRILO,6.1,,
2648,"1,2-DIBROMO-3-BUTANONA",6.1,,
2649,"1,3-DICLOROACETONA",6.1,,
2650,"1,1-DICLORO-1- NITROETANO",6.1,,
2651,"4,4'-DIAMINODIFENIL- METANO",6.1,,
2653,YODURO DE BENCILO,6.1,,
2655,FLUOROSILICATO DE POTASIO,6.1,,
2656,QUINOLEÍNA,6.1,,
2657,DISULFURO DE SELENIO,6.1,,
2659,CLOROACETATO DE SODIO,6.1,,
2660,NITROTOLUIDINAS (MONO),6.1,,
2661,HEXACLOROACETONA,6.1,,
2664,DIBROMOMETANO,6.1,,
2667,BUTILTOLUENOS,6.1,,
2668,CLOROACETONITRILO,6.1,3,
2669,CLOROCRESOLES EN SOLUCIÓN,6.1,,
2670,CLORURO CIANÚRICO,8,,
2671,"AMINOPIRIDINAS (o-, m-, p-)",6.1,,
2672,"AMONIACO EN SOLUCIÓN acuosa de densidad relativa comprendida entre 0,880 y 0,957 a 15 °C, con más del 10% pero no más del 35% de amoniaco",8,,
2673,2-AMINO-4-CLOROFENOL,6.1,,
2674,FLUOROSILICATO DE SODIO,6.1,,
2676,ESTIBINA,2.3,2.1,
2677,HIDRÓXIDO DE RUBIDIO EN SOLUCIÓN,8,,
2678,HIDRÓXIDO DE RUBIDIO,8,,
2679,HIDRÓXIDO DE LITIO EN SOLUCIÓN,8,,
2680,HIDRÓXIDO DE LITIO,8,,
2681,HIDRÓXIDO DE CESIO EN SOLUCIÓN,8,,
2682,HIDRÓXIDO DE CESIO,8,,
2683,RESINATO DE ALUMINIO,8,3\n6.1,
2684,3-DIETILAMINO- PROPILAMINA,3,8,
2685,"N,N-DIETILETILENDIAMINA",8,3,
2686,2-DIETILAMINOETANOL,8,3,
2687,NITRITO DE DICICLOHEXILAMONIO,4.1,,
2688,1-BROMO-3- CLOROPROPANO,6.1,,
2689,alfa-MONOCLORHIDRINA DEL GLICEROL,6.1,,
2690,"N, n-BUTIL IMIDAZOL",6.1,,
2691,PENTABROMURO DE FÓSFORO,8,,
2692,TRIBROMURO DE BORO,8,,
2693,"HIDROGENOSULFITOS EN SOLUCIÓN ACUOSA, N.E.P.",8,,Corrosivos.
2698,"ANHÍDRIDOS TETRAHIDROFTÁLICOS con más del 0,05% de anhídrido maleico",8,,
2699,ÁCIDO TRIFLUOROACÉTICO,8,,
2705,1-PENTOL,8,,
2707,DIMETILDIOXANOS,3,,
2709,BUTILBENCENOS,3,,
2710,DIPROPILCETONA,3,,
2713,ACRIDINA,6.1,,
2714,RESINATO DE CINC,4.1,,
2715,RESINATO DE ALUMINIO,4.1,,
2716,"1,4-BUTINODIOL",6.1,,
2717,ALCANFOR sintético,4.1,,
2719,BROMATO DE BARIO,5.1,6.1,
2720,NITRATO DE CROMO(III),5.1,,
2721,CLORATO DE COBRE,5.1,,
2722,NITRATO DE LITIO,5.1,,
2723,CLORATO DE MAGNESIO,5.1,,
2724,NITRATO DE MANGANESO,5.1,,
2725,NITRATO DE NÍQUEL,5.1,,
2726,NITRITO DE NÍQUEL,5.1,,
2727,NITRATO DE TALIO,6.1,5.1,
2728,NITRATO DE CIRCONIO,5.1,,
2729,HEXACLOROBENCENO,6.1,,
2730,NITROANISOLES LÍQUIDOS,6.1,,
2732,NITROBROMOBENCENOS LÍQUIDOS,6.1,,
2733,"AMINAS INFLAMABLES, CORROSIVAS, N.E.P. o POLIAMINAS INFLAMABLES, CORROSIVAS, N.E.P.",3,8,Líquidos inflamables.
2734,"AMINAS LÍQUIDAS, CORROSIVAS, INFLAMABLES, N.E.P. o POLIAMINAS LÍQUIDAS, CORROSIVAS, INFLAMABLES, N.E.P.",8,3,Corrosivos.
2735,"AMINAS LÍQUIDAS, CORROSIVAS, N.E.P. o POLIAMINAS LÍQUIDAS, CORROSIVAS, N.E.P.",8,,Corrosivos.
2738,N-BUTILANILINA,6.1,,
2739,ANHÍDRIDO BUTÍRICO,8,,
2740,CLOROFORMIATO DE n-PROPILO,6.1,3\n8,
2741,HIPOCLORITO DE BARIO con más del 22% de cloro activo,5.1,6.1,
2742,"CLOROFORMIATOS TÓXICOS, CORROSIVOS, INFLAMABLES, N.E.P.",6.1,3\n8,Tóxicos
2743,CLOROFORMIATO DE n-BUTILO,6.1,3\n8,
2744,CLOROFORMIATO DE CICLOBUTILO,6.1,3\n8,
2745,CLOROFORMIATO DE CLOROMETILO,6.1,8,
2746,CLOROFORMIATO DE FENILO,6.1,8,
2747,CLOROFORMIATO DE terc-BUTILCICLOHEXILO,6.1,,
2748,CLOROFORMIATO DE 2-ETILHEXILO,6.1,8,
2749,TETRAMETILSILANO,3,,
2750,"1,3-DICLORO-2-PROPANOL",6.1,,
2751,CLORURO DE DIETILTIOFOSFORILO,8,,
2752,"1,2-EPOXI-3- ETOXIPROPANO",3,,
2753,N-ETILBENCILTOLUIDINAS LÍQUIDAS,6.1,,
2754,N-ETILTOLUIDINAS,6.1,,
2757,"PLAGUICIDA A BASE DE CARBAMATO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2758,"PLAGUICIDA A BASE DE CARBAMATO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2759,"PLAGUICIDA ARSENICAL SÓLIDO, TÓXICO",6.1,,Tóxicos
2760,"PLAGUICIDA ARSENICAL LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2761,"PLAGUICIDA ORGANOCLORADO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2762,"PLAGUICIDA ORGANOCLORADO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2763,"PLAGUICIDA A BASE DE TRIAZINA, SÓLIDO, TÓXICO",6.1,,Tóxicos
2764,"PLAGUICIDA A BASE DE TRIAZINA, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2771,"PLAGUICIDA A BASE DE TIOCARBAMATO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2772,"PLAGUICIDA A BASE DE TIOCARBAMATO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2775,"PLAGUICIDA A BASE DE COBRE, SÓLIDO, TÓXICO",6.1,,Tóxicos
2776,"PLAGUICIDA A BASE DE COBRE, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2777,"PLAGUICIDA A BASE DE MERCURIO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2778,"PLAGUICIDA A BASE DE MERCURIO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2779,"PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, SÓLIDO, TÓXICO",6.1,,Tóxicos
2780,"PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2781,"PLAGUICIDA A BASE DE BIPIRIDILO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2782,"PLAGUICIDA A BASE DE BIPIRIDILO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2783,"PLAGUICIDA A BASE DE ORGANOFÓSFORO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2784,"PLAGUICIDA A BASE DE ORGANOFÓSFORO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2785,4-TIAPENTANAL,6.1,,
2786,"PLAGUICIDA A BASE DE ORGANOESTAÑO, SÓLIDO, TÓXICO",6.1,,Tóxicos
2787,"PLAGUICIDA A BASE DE ORGANOESTAÑO, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23°C",3,6.1,Líquidos inflamables.
2788,"ORGANOESTAÑO, COMPUESTO DE, LÍQUIDO, N.E.P.",6.1,,Tóxicos
2789,"ÁCIDO ACÉTICO GLACIAL o ÁCIDO ACÉTICO EN SOLUCIÓN con más del 80%, en masa, de ácido",8,3,
2790,"ÁCIDO ACÉTICO EN SOLUCIÓN con un mínimo del 50% pero no más del 80%, en masa, de ácido",8,,
2793,"VIRUTAS, TORNEADURAS o RASPADURAS DE METALES FERROSOS en una forma susceptible de calentamiento espontáneo",4.2,,
2794,ACUMULADORES ELÉCTRICOS DE ELECTROLITO LÍQUIDO ÁCIDO,8,,
2795,ACUMULADORES ELÉCTRICOS DE ELECTROLITO LÍQUIDO ALCALINO,8,,
2796,ÁCIDO SULFÚRICO con un máximo del 51% de ácido o ELECTROLITO ÁCIDO PARA BATERÍAS,8,,
2797,ELECTROLITO ALCALINO PARA ACUMULADORES,8,,
2798,DICLOROFENILFOSFANO,8,,
2799,TIODICLOROFENILFOSFINA,8,,
2800,ACUMULADORES ELÉCTRICOS NO DERRAMABLES DE ELECTROLITO LÍQUIDO,8,,
2801,"COLORANTE LÍQUIDO CORROSIVO, N.E.P. o MATERIA INTERMEDIA PARA COLORANTES, LÍQUIDA, CORROSIVA, N.E.P.",8,,
2802,CLORURO DE COBRE,8,,Corrosivos.
2803,GALIO,8,,
2805,"HIDRURO DE LITIO, FUNDIDO, SÓLIDO",4.3,,
2806,NITRURO DE LITIO,4.3,,
2807,MATERIAL MAGNETIZADO,9,,
2809,MERCURIO,8,6.1,
2810,"LÍQUIDO TÓXICO, ORGÁNICO, N.E.P.",6.1,,
2811,"SÓLIDO TÓXICO, ORGÁNICO, N.E.P.",6.1,,Tóxicos
2812,ALUMINATO DE SODIO SÓLIDO,8,,Tóxicos
2813,"SÓLIDO QUE REACCIONA CON EL AGUA, N.E.P.",4.3,,
2814,SUBSTANCIA INFECCIOSA PARA EL SER HUMANO,6.2,,Substancias que en contacto con el agua desprenden gases inflamables.
2815,N-AMINOETILPIPERAZINA,8,6.1,Agentes infecciosos.
2817,HIDROGENODIFLUORURO DE AMONIO EN SOLUCIÓN,8,6.1,
2818,POLISULFURO DE AMONIO EN SOLUCIÓN,8,6.1,
2819,FOSFATO ÁCIDO DE AMILO,8,,
2820,ÁCIDO BUTÍRICO,8,,
2821,FENOL EN SOLUCIÓN,6.1,,
2822,2-CLOROPIRIDINA,6.1,,
2823,ÁCIDO CROTÓNICO SÓLIDO,8,,
2826,CLOROTIOFORMIATO DE ETILO,8,3,
2829,ÁCIDO CAPROICO,8,,
2830,LITIOFERROSILICIO,4.3,,
2831,"1,1,1-TRICLOROETANO",6.1,,
2834,ÁCIDO FOSFOROSO,8,,
2835,HIDRURO DE ALUMINIO Y SODIO,4.3,,
2837,HIDRÓGENO SULFATOS EN SOLUCIÓN ACUOSA,8,,
2838,BUTIRATO DE VINILO ESTABILIZADO,3,,Corrosivos.
2839,ALDOL,6.1,,
2840,BUTIRALDOXIMA,3,,
2841,DI-n-AMILAMINA,3,6.1,
2842,NITROETANO,3,,
2844,CALCIOMANGANESO- SILICIO,4.3,,
2845,"LÍQUIDO PIROFÓRICO ORGÁNICO, N.E.P.",4.2,,
2846,"SÓLIDO PIROFÓRICO ORGÁNICO, N.E.P.",4.2,,Solidos inflamables de reacción espontanea.
2849,3-CLORO-1-PROPANOL,6.1,,Solidos inflamables de reacción espontanea.
2850,TETRÁMERO DEL PROPILENO,3,,
2851,TRIFLUORURO DE BORO DIHIDRATADO,8,,
2852,"SULFURO DE DIPICRILO HUMIDIFICADO con un mínimo del 10%, en masa, de agua",4.1,,
2853,FLUOROSILICATO DE MAGNESIO,6.1,,
2854,FLUOROSILICATO DE AMONIO,6.1,,
2855,FLUOROSILICATO DE CINC,6.1,,
2856,"FLUOROSILICATOS, N.E.P.",6.1,,
2857,MÁQUINAS REFRIGERADORAS que contienen gases no inflamables ni tóxicos o amoniaco en solución (ONU 2672),2.2,,Tóxicos
2858,"CIRCONIO SECO, en forma de alambre enrollado, de láminas metálicas acabadas o de tiras (de un grosor inferior a 254 micras pero no inferior a 18 micras)",4.1,,
2859,METAVANADATO DE AMONIO,6.1,,
2861,POLIVANADATO DE AMONIO,6.1,,
2862,PENTÓXIDO DE VANADIO no fundido,6.1,,
2863,VANADATO DE SODIO Y AMONIO,6.1,,
2864,METAVANADATO DE POTASIO,6.1,,
2865,SULFATO DE HIDROXILAMINA,8,,
2869,TRICLORURO DE TITANIO EN MEZCLA,8,,
2870,BOROHIDRURO DE ALUMINIO,4.2,4.3,
2870,BOROHIDRURO DE ALUMINIO EN DISPOSITIVOS,4.2,4.3,
2871,ANTIMONIO EN POLVO,6.1,,
2872,DIBROMOCLOROPROPANOS,6.1,,
2873,DIBUTILAMINOETANOL,6.1,,
2874,ALCOHOL FURFURÍLICO,6.1,,
2875,HEXACLOROFENO,6.1,,
2876,RESORCINOL,6.1,,
2878,"TITANIO, ESPONJA DE, EN GRÁNULOS o EN POLVO",4.1,,
2879,OXICLORURO DE SELENIO,8,6.1,
2880,"HIPOCLORITO DE CALCIO HIDRATADO o HIPOCLORITO DE CALCIO HIDRATADO EN MEZCLA, con un mínimo del 5,5% pero no más del 16% de agua",5.1,,
2881,CATALIZADOR DE METAL SECO,4.2,,
2900,SUBSTANCIA INFECCIOSA PARA LOS ANIMALES únicamente,6.2,,Solidos inflamables de reacción espontanea.
2901,CLORURO DE BROMO,2.3,5.1\n8,Agentes infecciosos.
2902,"PLAGUICIDA LÍQUIDO, TÓXICO, N.E.P.",6.1,,
2903,"PLAGUICIDA LÍQUIDO, TÓXICO, INFLAMABLE, N.E.P., de punto de inflamación no inferior a 23°C",6.1,3,Tóxicos
2904,CLOROFENOLATOS LÍQUIDOS o FENOLATOS LÍQUIDOS,8,,Tóxicos
2905,CLOROFENOLATOS SÓLIDOS o FENOLATOS SÓLIDOS,8,,
2907,"DINITRATO DE ISOSORBIDA EN MEZCLA con un mínimo del 60% de lactosa, manosa, almidón o fosfato ácido de calcio",4.1,,
2908,"MATERIALES RADIACTIVOS, BULTOS EXCEPTUADOS- EMBALAJES/ENVASES VACÍOS",7,,
2909,"MATERIALES RADIACTIVOS, BULTOS EXCEPTUADOS-ARTÍCULOS MANUFACTURADOS DE URANIO NATURAL o URANIO EMPOBRECIDO o TORIO NATURAL",7,,Radiactivos.
2910,"MATERIALES RADIACTIVOS, BULTOS EXCEPTUADOS- CANTIDADES LIMITADAS DE MATERIALES",7,,Radiactivos.
2911,"MATERIALES RADIACTIVOS, BULTOS EXCEPTUADOS- INSTRUMENTOS o ARTÍCULOS",7,,Radiactivos.
2912,"MATERIALES RADIACTIVOS, BAJA ACTIVIDAD ESPECÍFICA (BAE-I), no fisionables o fisionables exceptuados",7,,Radiactivos.
2913,"MATERIALES RADIACTIVOS, OBJETOS CONTAMINADOS EN LA SUPERFICIE (OCS-I u OCS- II), no fisionables o fisionables exceptuados",7,,Radiactivos.
2915,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO A, no en forma especial, no fisionables o fisionables exceptuados",7,,Radiactivos.
2916,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO B(U), no fisionables o fisionables exceptuados",7,,Radiactivos.
2917,"MATERIALES RADIACTIVOS, BULTOS DEL TIPO B(M), no fisionables o fisionables exceptuados",7,,Radiactivos.
2919,"MATERIALES RADIACTIVOS, TRANSPORTADOS EN VIRTUD DE ARREGLOS ESPECIALES, no fisionables o fisionables exceptuados",7,,Radiactivos.
2920,"LÍQUIDO CORROSIVO INFLAMABLE, N.E.P.",8,3,Radiactivos.
2921,"SÓLIDO CORROSIVO INFLAMABLE, N.E.P.",8,4.1,Corrosivos.
2922,"LÍQUIDO CORROSIVO, TÓXICO, N.E.P.",8,6.1,Corrosivos.
2923,"SÓLIDO CORROSIVO, TÓXICO, N.E.P.",8,6.1,Corrosivos.
2924,"LÍQUIDO INFLAMABLE, CORROSIVO, N.E.P.",3,8,Corrosivos.
2925,"SÓLIDO INFLAMABLE, CORROSIVO, ORGÁNICO, N.E.P.",4.1,8,Líquidos inflamables.
2926,"SÓLIDO INFLAMABLE, TÓXICO, ORGÁNICO, N.E.P.",4.1,6.1,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
2927,"LÍQUIDO TÓXICO, CORROSIVO, ORGÁNICO, N.E.P.",6.1,8,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
2928,"SÓLIDO TÓXICO, CORROSIVO, ORGÁNICO, N.E.P.",6.1,8,Tóxicos
2929,"LÍQUIDO TÓXICO, INFLAMABLE, ORGÁNICO, N.E.P.",6.1,3,Tóxicos
2930,"SÓLIDO TÓXICO, INFLAMABLE, ORGÁNICO, N.E.P.",6.1,4.1,Tóxicos
2931,SULFATO DE VANADILO,6.1,,Tóxicos
2933,2-CLOROPROPIONATO DE METILO,3,,
2934,2-CLOROPROPIONATO DE ISOPROPILO,3,,
2935,2-CLOROPROPIONATO DE ETILO,3,,
2936,ÁCIDO TIOLÁCTICO,6.1,,
2937,ALCOHOL alfa- METILBENCÍLICO LÍQUIDO,6.1,,
2940,9-FOSFABICICLONONANOS (FOSFANOS DE CICLOOCTADIENO),4.2,,
2941,FLUOROANILINAS,6.1,,
2942,2-TRIFLUOROMETIL- ANILINA,6.1,,
2943,TETRAHIDROFURFURIL- AMINA,3,,
2945,N-METILBUTILAMINA,3,8,
2946,2-AMINO-5- DIETILAMINOPENTANO,6.1,,
2947,CLOROACETATO DE ISOPROPILO,3,,
2948,3-TRIFLUOROMETIL- ANILINA,6.1,,
2949,HIDROGENOSULFURO DE SODIO HIDRATADO con un mínimo del 25% de agua de cristalización,8,,
2950,"GRÁNULOS DE MAGNESIO RECUBIERTOS, en partículas de un mínimo de 149 micras.",4.3,,
2956,"5-terc-BUTIL-2,4,6-TRINITRO- m-XILENO (ALMIZCLE XILENO)",4.1,,
2965,DIMETILETERATO DE TRIFLUORURO DE BORO,4.3,3\n8,
2966,TIOGLICOL,6.1,,
2967,ÁCIDO SULFÁMICO,8,,
2968,MANEB ESTABILIZADO o PREPARADOS DE MANEB ESTABILIZADOS contra el calentamiento espontáneo,4.3,,
2969,SEMILLAS DE RICINO o HARINA DE RICINO o TORTA DE RICINO o RICINO EN COPOS,9,,
2977,"MATERIALES RADIACTIVOS, HEXAFLUORURO DE URANIO, FISIONABLE",7,6.1\n8,
2978,"MATERIALES RADIACTIVOS, HEXAFLUORURO DE URANIO, no fisionable o fisionable exceptuado",7,6.1\n8,
2983,"ÓXIDO DE ETILENO Y ÓXIDO DE PROPILENO, MEZCLA DE, con un máximo del 30% de óxido de etileno",3,6.1,
2984,PERÓXIDO DE HIDRÓGENO EN SOLUCIÓN ACUOSA con un mínimo del 8% pero menos del 20% de peróxido de hidrógeno (estabilizada según sea necesario),5.1,,
2985,"CLOROSILANOS, INFLAMABLES, CORROSIVOS, N.E.P.",3,8,
2986,"CLOROSILANOS, CORROSIVOS, INFLAMABLES, N.E.P.",8,3,Líquidos inflamables.
2987,"CLOROSILANOS, CORROSIVOS, N.E.P.",8,,Corrosivos.
2988,"CLOROSILANOS QUE REACCIONAN CON EL AGUA, INFLAMABLES, CORROSIVOS, N.E.P.",4.3,3\n8,Corrosivos.
2989,FOSFITO DIBÁSICO DE PLOMO,4.1,,Substancias que en contacto con el agua desprenden gases inflamables.
2990,APARATOS DE SALVAMENTO AUTOINFLABLES,9,,
2991,"PLAGUICIDA A BASE DE CARBAMATO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,
2992,"PLAGUICIDA A BASE DE CARBAMATO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
2993,"PLAGUICIDA ARSENICAL, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
2994,"PLAGUICIDA ARSENICAL, LÍQUIDO, TÓXICO",6.1,,Tóxicos
2995,"PLAGUICIDA ORGANOCLORADO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
2996,"PLAGUICIDA ORGANOCLORADO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
2997,"PLAGUICIDA A BASE DE TRIAZINA, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
2998,"PLAGUICIDA A BASE DE TRIAZINA, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3005,"PLAGUICIDA A BASE DE TIOCARBAMATO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3006,"PLAGUICIDA A BASE DE TIOCARBAMATO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3009,"PLAGUICIDA A BASE DE COBRE, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3010,"PLAGUICIDA A BASE DE COBRE, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3011,"PLAGUICIDA A BASE DE MERCURIO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3012,"PLAGUICIDA A BASE DE MERCURIO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3013,"PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3014,"PLAGUICIDA A BASE DE NITROFENOLES SUSTITUIDOS, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3015,"PLAGUICIDA A BASE DE BIPIRIDILO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3016,"PLAGUICIDA A BASE DE BIPIRIDILO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3017,"PLAGUICIDA A BASE DE ORGANOFÓSFORO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3018,"PLAGUICIDA A BASE DE ORGANOFÓSFORO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3019,"PLAGUICIDA A BASE DE ORGANOESTAÑO, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Tóxicos
3020,"PLAGUICIDA A BASE DE ORGANOESTAÑO, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3021,"PLAGUICIDA LÍQUIDO, INFLAMABLE, TÓXICO, N.E.P., de punto de inflamación inferior a 23°C",3,6.1,Tóxicos
3022,"ÓXIDO DE 1,2-BUTILENO ESTABILIZADO",3,,Líquidos inflamables.
3023,2-METIL-2-HEPTANOTIOL,6.1,3,
3024,"PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, INFLAMABLE, TÓXICO, de punto de inflamación inferior a 23 °C",3,6.1,
3025,"PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, TÓXICO, INFLAMABLE, de punto de inflamación no inferior a 23 °C",6.1,3,Líquidos inflamables.
3026,"PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, LÍQUIDO, TÓXICO",6.1,,Tóxicos
3027,"PLAGUICIDA A BASE DE DERIVADOS DE LA CUMARINA, SÓLIDO, TÓXICO",6.1,,Tóxicos
3028,ACUMULADORES ELÉCTRICOS SECOS QUE CONTIENEN HIDRÓXIDO DE POTASIO SÓLIDO,8,,Tóxicos
3048,PLAGUICIDA A BASE DE FOSFURO DE ALUMINIO,6.1,,
3054,CICLOHEXILMERCAPTANO,3,,
3055,2-(2-AMINOETOXI)ETANOL,8,,
3056,n-HEPTALDEHÍDO,3,,
3057,CLORURO DE TRIFLUOROACETILO,2.3,8,
3064,NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con más del 1% pero no más del 5% de nitroglicerina,3,,
3065,"BEBIDAS ALCOHÓLICAS, con más del 70% de alcohol en volumen",3,,
3065,"BEBIDAS ALCOHÓLICAS, con más del 24% pero no más del 70% de alcohol en volumen",3,,
3066,"PINTURAS (incluidas pinturas, lacas, esmaltes, colorantes, goma laca, barnices, bruñidores, encáusticos, apresto líquido y bases líquidas para lacas) o PRODUCTOS PARA PINTURA (incluidos disolventes y diluyentes para pinturas)",8,,
3070,"ÓXIDO DE ETILENO Y DICLORODIFLUOROMETANO, MEZCLA DE, con un máximo del 12,5% de óxido de etileno",2.2,,
3071,"MERCAPTANOS LÍQUIDOS, TÓXICOS, INFLAMABLES, N.E.P. o MEZCLA DE MERCAPTANOS LÍQUIDOS, TÓXICOS, INFLAMABLES, N.E.P.",6.1,3,
3072,APARATOS DE SALVAMENTO NO AUTOINFLABLES que contienen mercancías peligrosas como material accesorio,9,,Tóxicos
3073,VINILPIRIDINAS ESTABILIZADAS,6.1,3\n8,
3077,"SUBSTANCIA SÓLIDA PELIGROSA PARA EL MEDIO AMBIENTE, N.E.P.",9,,
3078,"CERIO, torneaduras o polvo abrasivo",4.3,,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3079,METACRILONITRILO ESTABILIZADO,6.1,3,
3080,"ISOCIANATOS TÓXICOS, INFLAMABLES, N.E.P. o ISOCIANATOS EN SOLUCIÓN, TÓXICOS, INFLAMABLES, N.E.P.",6.1,3,
3082,"SUBSTANCIA LÍQUIDA PELIGROSA PARA EL MEDIO AMBIENTE, N.E.P.",9,,Tóxicos
3083,FLUORURO DE PERCLORILO,2.3,5.1,Substancias que durante el transporte presentan un riesgo distinto de los correspondientes a las clases 1 a 8.
3084,"SÓLIDO CORROSIVO COMBURENTE, N.E.P.",8,5.1,
3085,"SÓLIDO COMBURENTE, CORROSIVO, N.E.P.",5.1,8,Corrosivos.
3086,"SÓLIDO TÓXICO, COMBURENTE, N.E.P.",6.1,5.1,Oxidantes.
3087,"SÓLIDO COMBURENTE, TÓXICO, N.E.P.",5.1,6.1,Tóxicos
3088,"SÓLIDO ORGÁNICO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",4.2,,Oxidantes.
3089,"POLVO METÁLICO INFLAMABLE, N.E.P.",4.1,,Solidos inflamables de reacción espontanea.
3090,BATERÍAS DE METAL LITIO (incluidas las baterías de aleación de litio),9,,Solidos que se inflaman con facilidad o pueden provocar o activar incendios por fricción.
3091,BATERÍAS DE METAL LITIO INSTALADAS EN UN EQUIPO O BATERÍAS DE METAL LITIO EMBALADAS CON UN EQUIPO (incluidas las baterías de aleación de litio),9,,
3092,1-METOXI-2-PROPANOL,3,,
3093,LÍQUIDO CORROSIVO COMBURENTE N.E.P.,8,5.1,
3094,"LÍQUIDO CORROSIVO QUE REACCIONA CON EL AGUA, N.E.P.",8,4.3,Corrosivos.
3095,"SÓLIDO CORROSIVO QUE EXPERIMENTA CALENTAMIENTO ESPONTÁNEO, N.E.P.",8,4.2,Corrosivos.
3096,"SÓLIDO CORROSIVO QUE REACCIONA CON EL AGUA, N.E.P.",8,4.3,Corrosivos.
3097,"SÓLIDO INFLAMABLE, COMBURENTE, N.E.P.",4.1,5.1,Corrosivos.
